Keyword,EndRank,EndClicks,SearchVolume,description,TFIDF_score,May-21,Jun-21,Jul-21,Aug-21,Sept-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sept-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sept-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sept-24,Oct-24,Nov-24,Dec-24
calculator,34,1919,358000,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002489743,32,56,34.6,50,34.4,50,26.4,44,42.6,41.2,42.6,42.6,42.6,42.6,34,42.6,26.4,26.4,35.8,26.4,26.4,27.6,23,27.6,24.2,24.2,16,17.2,17.2,9,19.6,17,21,21.8,29,22.6,30,20.2,22,24.4,19,26.4,34,21.8
nzqa,62,302,101000,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002156548,54,50.8,57.4,62.8,51.8,57.4,57.4,57.2,57.4,57.2,43,62.2,57.4,57.4,62,69,62.2,70,62.2,67,43,56.8,62,42,53.2,54,53,49.6,44,55,53.4,36,61,60.2,76,60.2,63,59,72,59,70,60.2,62,63.4
studylink,1,13333,81300,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002224808,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
myir,90,113,54300,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002112079,53.8,53.8,54,58.2,55.6,58.2,52.2,52.2,54,60,43,60,54,54,57.6,46,55.8,57.6,54,74,60,54,63.6,52,63.6,55,73,61.8,65,64,69.6,78,91,82.2,85,82,86.2,76.8,87,82,86.2,80.8,90,78.4
ird login,49,182,48600,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002395787,40.6,52,30.2,36,32.8,13,44.6,20,36.6,34.6,31,48.4,41.4,47.8,56,48,44.6,52,39,33,34,41.8,38,52,49.4,49.4,68,58,66,55,57.2,49,43,55.2,54,52.4,63,54.8,51,56.4,70,53.2,49,58.6
seek nz,33,207,37600,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002258762,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,39,32.33333333,25,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,32.33333333,33,32.33333333
my ird,69,92,34400,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002321728,42.8,41,39.2,46,34.6,20,31.6,85,31,42.2,8,44.6,19,45.4,93,44,45.8,41,54,25,26,37,42,51,52.2,49,56,56.2,62,63,55.2,48,46,53.2,49,55.6,57,59,63,57.8,52,57.2,69,56.8
mymsd,35,178,34300,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002140252,9.8,9,10.4,11,7.8,10,9.8,7,8.2,8.6,7,8.6,6,7.2,7.6,10.8,9.6,9.8,9.4,11.8,7,9.8,14.2,12.6,11.8,20,9,17.6,18,17,14.8,24,10,25,36,25.4,33,26.8,17,30,41,29,35,28.8
realme,5,1156,33600,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002222257,4.4,3,3,3,3.4,3,3.6,3.8,2,3.6,5,3.6,4,4.2,4,4,4.4,5,4.4,6,3,4.4,5,3,4.6,6,6,4.6,5,3,4.4,2,2,3.6,5,3.6,5,3.8,4,4.2,5,4.2,5,4.4
winz,80,58,25100,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002459981,76.8,85.4,77.6,84,79.6,77.6,79.6,80.2,95,80.8,66,82.6,77.6,77.6,79.6,69,81.6,82.6,78.2,83.2,77,82.6,81,91,86.6,98,86.6,86.6,86.6,86,86.6,87.2,87.2,87.2,87.2,87.2,86.4,87.2,87.2,87.2,87.2,87.2,80,86.6
